id,position,name,score,ratings,category,category,full_address,zip_code,lat,lng
89,154,Sugar Daddys BBQ,,,"BBQ, American, Burgers","BBQ, American, Burgers","1486 Minor Parkway, Birmingham, AL, 35224",35224,33.55141,-86.92616
90,153,Carter's Seafood,,,"Seafood, American, Southern, Exclusive to Eats","Seafood, American, Southern, Exclusive to Eats","512 Reverend Abraham Woods Jr Blvd, Birmingham, AL, 35204",35204,33.5139486,-86.827653
91,152,McFly's Bird Shoppe,,,"Burgers, American, New American","Burgers, American, New American","1024 20th Street South, Birmingham, AL, 35205",35205,33.5009798,-86.796851
92,151,D-Icon Bar and Lounge,,,"Burgers, American, Sandwiches","Burgers, American, Sandwiches","4847 Richard Arrington Junior Boulevard North, Birmingham, AL, 35212",35212,33.54333,-86.76253
93,150,Little Savannah Restaurant &amp; Bar,,,"Burgers, American, Sandwiches","Burgers, American, Sandwiches","3811 Clairmont Ave S, Birmingham, AL, 35222",35222,33.5146874,-86.7739077
94,149,Dram Whiskey Bar,,,"American, Burgers","American, Burgers","2721 Cahaba Rd, Mountain Brook, AL, 35223",35223,33.4841173,-86.7734848
95,148,Rogue Tavern (2nd Ave N),,,"American, Exclusive to Eats","American, Exclusive to Eats","2312 2nd Ave N, Birmingham, AL, 35203",35203,33.5178692,-86.8016994
96,147,Zulas,,,"Burgers, American, Sandwiches","Burgers, American, Sandwiches","2125 Highland Ave, Birmingham, AL, 35205",35205,33.499634,-86.792458
97,144,The Southern Kitchen &amp; Bar,,,"BBQ, American, Burgers","BBQ, American, Burgers","2301 Richard Arrington Jr Blvd N, Birmingham, AL, 35203",35203,33.52617,-86.80778
98,142,Potatoe Potatohz Perfic Pizza ,,,"Pizza, American, Wings","Pizza, American, Wings","707 Richard Arrington Jr Blvd S, Birmingham, AL, 35233-2105",35233-2105,33.50655,-86.79829
99,141,Martys,,,"American, Burgers, Exclusive to Eats","American, Burgers, Exclusive to Eats","1813 10th Ct S, Birmingham, AL, 35205",35205,33.5001807,-86.7993151
100,139,KC Wings,,,"Wings, American, Fast Food","Wings, American, Fast Food","2501 Avenue E, Birmingham, AL, 35218",35218,33.507739,-86.900656
101,138,The Craft Burger (Downtown),,,"American, Burgers","American, Burgers","321 20th St N, Birmingham, AL, 35203",35203,33.5170646,-86.8070706
102,137,Exotic Wings &amp; Things,,,"Comfort Food, American, Wings","Comfort Food, American, Wings","2520 12th ave. N, Birmingham, AL, 35234",35234,33.5311,-86.80644
103,135,10th Ave Deli Shark Fish and Chicken ,,,"Wings, American, Fast Food","Wings, American, Fast Food","4500 Richard Arrington Junior Boulevard North, Birmingham, AL, 35212",35212,33.54327,-86.76939
104,134,Power Up! Breakfast Bowls (541-B Graymont Ave),,,"American, Breakfast and Brunch, Coffee and Tea","American, Breakfast and Brunch, Coffee and Tea","541-B Graymont Ave, Birmingham, AL, 35204",35204,33.50915,-86.84565
105,132,Hot Chx Nashville Hot Chicken (541-B Graymont Ave),,,"American, Chicken, Sandwiches","American, Chicken, Sandwiches","541-B Graymont Ave, Birmingham, AL, 35204",35204,33.5098,-86.85464
106,130,Taqueria La Herradura,,,"Mexican, Breakfast and Brunch, Soup","Mexican, Breakfast and Brunch, Soup","344 Finley Avenue West, Birmingham, AL, 35204",35204,33.5346,-86.84286
107,129,THE BACK PORCH (A CHEF RON'S PLACE),,,"Comfort Food, American, Burgers","Comfort Food, American, Burgers","1924 1st Avenue North, Bessemer, AL, 35020",35020,33.40241,-86.95105
108,128,Cabo Coastal Grill,,,"Mexican, Latin American, New Mexican","Mexican, Latin American, New Mexican","100 Frankfurt Cir Ste A, Birmingham, AL, 35211",35211,33.43843,-86.86611
109,127,Breakfast Beauties (541-B Graymont Ave),,,"American, Sandwiches, Burgers","American, Sandwiches, Burgers","541-B Graymont Ave, Birmingham, AL, 35204",35204,33.51104,-86.82711
110,125, Don't Grill My Cheese ,,,"American, Deli, Sandwiches","American, Deli, Sandwiches","541-B Graymont Ave, Birmingham, AL, 35204",35204,33.5098,-86.85464
111,124,Post Office Pies (Avondale),4.6,32,"Pizza, American, Italian","Pizza, American, Italian",,,33.52467,-86.7739
112,121,Monita's Bakery,,,"Breakfast and Brunch, American, Coffee and Tea","Breakfast and Brunch, American, Coffee and Tea","1021 Main Street, Gardendale, AL, 35071",35071,33.652756,-86.810991
113,120,The Perfect Catch Bar and Grill,,,"American, Sandwiches, Pasta","American, Sandwiches, Pasta","526 19th Street Ensley, Birmingham, AL, 35218",35218,33.512842,-86.895919
114,119,Tina and Ginas,,,"Sandwich, Fast Food, Healthy","Sandwich, Fast Food, Healthy","1821 2nd Avenue North, Birmingham, AL, 35203",35203,33.51416,-86.80798
115,118,D's Tamales Togo,,,"Wings, American, Fast Food, Mexican","Wings, American, Fast Food, Mexican","258 Forest Rd, Hueytown, AL, 35023",35023,33.4518609,-86.9817898
116,117,On Tap Sports Cafe (Fultondale),,,"Burgers, American, Wings","Burgers, American, Wings","1600 Main St, Fultondale, AL, 35068",35068,33.60897,-86.8007
117,116,Tin Roof,3.8,18,"Burgers, American, Sandwiches","Burgers, American, Sandwiches","2709 7th Ave S, Birmingham, AL, 35233",35233,33.51057,-86.78961
118,115,Wingout Express (1806 AVENUE V),,,"Burgers, American, Sandwiches","Burgers, American, Sandwiches","1806 AVENUE V, BIRMINGHAM, AL, 35218",35218,33.51088,-86.87965
119,114,Wings Around The Clock,,,"Comfort Food, American, Wings","Comfort Food, American, Wings","801 20th St S, Birmingham, AL, 35205",35205,33.5047,-86.79865
120,112,Taqueria Los Primos,4.2,18,"Mexican, Latin American, New Mexican","Mexican, Latin American, New Mexican","3133 Lorna Rd, Hoover, AL, 35216",35216,33.3996699,-86.8026855
121,111,WingOut Express (14 Green Springs Highway),,,"Comfort Food, American, Wings","Comfort Food, American, Wings","14 Green Springs Highway, Birmingham, AL, 35209",35209,33.47428,-86.82649
122,110,KJs wings and BBQ,4.3,23,"Wings, American, Fast Food","Wings, American, Fast Food","1159 Bankhead Highway West, Birmingham, AL, 35204",35204,33.532145,-86.855994
